"no_overall","no_inseason","title","directed_by","written_by","orig_release_date","prod_code","u_s_viewers_millions","season_category"
309,8,"""Embedded""","Ed Sherin","Craig Turk",2003-11-19,"E4303",17.53,"season_14"
336,11,"""Fixed""","Ed Sherin","Roz Weinman & Eric Overmyer",2004-12-08,"15011",15.69,"season_15"
358,9,"""Criminal Law""","Ed Sherin","David Wilcox",2005-11-23,"16010",11.93,"season_16"
473,7,"""Only the Lonely""","Elisabeth Röhm","Pamela Wechsler & Jennifer Vanderbes",2022-11-10,"2207",4.07,"season_22"
345,20,"""Tombstone""","Eric Stoltz","Rick Eid",2005-04-13,"15025",16.85,"season_15"
466,10,"""Black and Blue""","Eriq La Salle","Rick Eid",2022-05-19,"2110",3.94,"season_21"
500,12,"""No Good Deed""","Eriq La Salle","Rick Eid",2024-05-09,"2312",3.67,"season_23"
502,1,"""Catch and Kill""","Eriq La Salle","Rick Eid & Art Alamo",2024-10-03,"2401",3.64,"season_24"
511,10,"""Greater Good""","Eriq La Salle","Teleplay by : Rick Eid & Ajani JacksonStory by : Rick Eid",2025-01-23,"2410",4.33,"season_24"
431,20,"""Exchange""","Ernest Dickerson","Stephanie Sengupta",2009-05-13,"19018",7.9,"season_19"
413,2,"""Challenged""","Fred Berner","René Balcer & Ed Zuckerman",2008-11-12,"19001",7.93,"season_19"
425,14,"""Rapture""","Fred Berner","Ed Zuckerman & Luke Schelhaas",2009-02-18,"19014",7.23,"season_19"
433,22,"""The Drowned and the Saved""","Fred Berner","Richard Sweren & Gina Gionfriddo",2009-06-03,"19022",8.87,"season_19"
434,1,"""Memo from the Dark Side""","Fred Berner","René Balcer & Keith Eisner",2009-09-25,"20001",6.25,"season_20"
449,16,"""Innocence""","Fred Berner","Richard Sweren & Julie Martin",2010-03-15,"20016",6.95,"season_20"
453,20,"""The Taxman Cometh""","Fred Berner","S : Ed Zuckerman;S/T : William N. Fordes",2010-05-10,"20020",6.22,"season_20"
508,7,"""Truth and Consequences""","Fred Berner","Pamela Wechsler",2024-11-14,"2407",3.35,"season_24"
516,15,"""Crossing Lines""","Fred Berner","Pamela Wechsler & Marley Schneier",2025-03-13,"2415",3.53,NA
21,21,"""Sonata for Solo Organ""","Fred Gerber","S : Michael Duggan;T : Michael S. Chernuchin;S/T : Joe Morgenstern",1991-04-02,"66226",18,"season_1"
23,1,"""Confession""","Fred Gerber","Michael Duggan & Robert Palm",1991-09-17,"67416",16.4,"season_2"
39,17,"""Sisters of Mercy""","Fred Gerber","S : Robert Palm;S/T : René Balcer",1992-03-03,"67423",16.4,"season_2"
75,9,"""Born Bad""","Fred Gerber","Michael S. Chernuchin & Sally Nemeth",1993-11-16,"69021",15.6,"season_4"
94,6,"""Competence""","Fred Gerber","Michael S. Chernuchin & Mark B. Perry",1994-11-02,"69409",17.9,"season_5"
117,6,"""Paranoia""","Fred Gerber","Michael S. Chernuchin",1995-11-15,"K0104",16.7,"season_6"
73,7,"""Apocrypha""","Gabrielle Beaumont","Michael S. Chernuchin",1993-11-03,"69013",14.9,"season_4"
53,9,"""Point of View""","Gilbert Moses","Walon Green & René Balcer",1992-11-25,"68012",16.4,"season_3"
52,8,"""Prince of Darkness""","Gilbert Shilton","Robert Nathan & William N. Fordes",1992-11-18,"68003",14.6,"season_3"
72,6,"""Pride and Joy""","Gilbert Shilton","Edward Pomerantz & Robert Nathan",1993-10-27,"69006",16.2,"season_4"
170,13,"""Castoff""","Gloria Muzio","David Black & Harold Schechter",1998-01-28,"K2512",15.59,"season_8"
289,12,"""Under God""","Gloria Muzio","Marc Guggenheim & Noah Baylin",2003-02-05,"E3313",18.33,"season_13"
295,18,"""Maritime""","Gloria Muzio","Wendy Battles",2003-04-17,"E3319",15.48,"season_13"
306,5,"""Blaze""","Gloria Muzio","Marc Guggenheim & Aaron Zelman & Michael S. Chernuchin",2003-10-29,"E4309",16.17,"season_14"
315,14,"""City Hall""","Gloria Muzio","Richard Sweren & Marc Guggenheim",2004-02-11,"E4318",16.96,"season_14"
318,17,"""Hands Free""","Gloria Muzio","Janis Diamond",2004-03-03,"E4316",14.61,"season_14"
13,13,"""A Death in the Family""","Gwen Arner","T : David Black;S/T : Joe Viola",1991-01-15,"66204",17.8,"season_1"
31,9,"""Renunciation""","Gwen Arner","Michael S. Chernuchin & Joe Morgenstern",1991-11-19,"67414",16,"season_2"
460,4,"""Fault Lines""","Heather Cappiello","Pamela Wechsler & Art Alamo",2022-03-17,"2104",4.62,"season_21"
77,11,"""Golden Years""","Helaine Head","T : Ed Zuckerman;S/T : Doug Palau",1994-01-05,"69008",15.2,"season_4"
174,17,"""Carrier""","J. Ranelli","David Black",1998-04-01,"K2525",12.73,"season_8"
86,20,"""Nurture""","Jace Alexander","Paris Qualles & Ed Zuckerman",1994-05-04,"69011",15.3,"season_4"
90,2,"""Coma""","Jace Alexander","Ed Zuckerman",1994-09-28,"69406",19.5,"season_5"
114,3,"""Savages""","Jace Alexander","Morgan Gendal & Barry M. Schkolmick & Michael S. Chernuchin",1995-10-18,"K0103",14.7,"season_6"
121,10,"""Remand""","Jace Alexander","René Balcer & Elaine Loeser",1996-01-10,"K0113",15.6,"season_6"
130,19,"""Slave""","Jace Alexander","René Balcer & Elaine Loeser",1996-04-21,"K0122",12.7,"season_6"
137,3,"""Good Girl""","Jace Alexander","Jeremy R. Littman",1996-10-02,"K1103",14.5,"season_7"
148,14,"""Working Mom""","Jace Alexander","Jeremy R. Littman & I.C. Rapoport",1997-02-26,"K1118",15.02,"season_7"
160,3,"""Navy Blues""","Jace Alexander","S : Dick Wolf;S/T : Kathy McCormick",1997-10-15,"K2510",11.79,"season_8"
164,7,"""Blood""","Jace Alexander","S : René Balcer;S/T : Craig Tepper",1997-11-19,"K2502",15.13,"season_8"
178,21,"""Bad Girl""","Jace Alexander","René Balcer & Richard Sweren",1998-04-29,"K2524",14.26,"season_8"
188,7,"""Venom""","Jace Alexander","S : David Shore;S/T : I.C. Rapoport",1998-11-18,"E0206",15.91,"season_9"
203,22,"""Admissions""","Jace Alexander","S : William N. Fordes;T : Kathy McCormick;S/T : Lynne E. Litt",1999-05-19,"E0224",14.96,"season_9"
211,6,"""Marathon""","Jace Alexander","Richard Sweren & Matt Witten",1999-11-17,"E1105",17.69,"season_10"
214,9,"""Sundown""","Jace Alexander","S : William N. Fordes;S/T : Krista Vernoff",1999-12-15,"E1107",19.29,"season_10"
221,16,"""Trade This""","Jace Alexander","S : René Balcer;S/T : Barry Schindel",2000-03-01,"E1118",18.32,"season_10"
225,20,"""Untitled""","Jace Alexander","S : Richard Sweren;S/T : Barry M. Schkolnick",2000-05-03,"E1124",16.42,"season_10"
228,23,"""Stiff""","Jace Alexander","S : René Balcer;S/T : Hall Powell",2000-05-24,"E1119",15.12,"season_10"
233,4,"""Standoff""","Jace Alexander","P.K. Todd",2000-11-08,"E1308",19.03,"season_11"
237,8,"""Thin Ice""","Jace Alexander","S : Bernard Goldberg;T : Barry Schindel & Matt Witten",2000-12-20,"E1310",18.22,"season_11"
243,14,"""A Losing Season""","Jace Alexander","Barry Schindel & Wendy Battles",2001-02-21,"E1322",18.25,"season_11"
253,24,"""Deep Vote""","Jace Alexander","William N. Fordes & Matt Witten",2001-05-23,"E1331",20.03,"season_11"
265,12,"""Undercovered""","Jace Alexander","Wendy Battles & Noah Baylin",2002-01-16,"E2220",21.17,"season_12"
269,16,"""Born Again""","Jace Alexander","S : William N. Fordes;T : Jill Goldsmith & Matt Witten",2002-03-06,"E2204",20.09,"season_12"
287,10,"""Mother's Day""","Jace Alexander","Janis Diamond",2003-01-08,"E3311",19.55,"season_13"
294,17,"""Genius""","Jace Alexander","William N. Fordes",2003-04-02,"E3318",15.47,"season_13"
298,21,"""House Calls""","Jace Alexander","Janis Diamond",2003-05-07,"E3323",17.46,"season_13"
305,4,"""Shrunk""","Jace Alexander","Richard Sweren",2003-10-22,"E4305",16.6,"season_14"
307,6,"""Identity""","Jace Alexander","Janis Diamond",2003-11-05,"E4311",16.38,"season_14"
312,11,"""Darwinian""","Jace Alexander","Marc Guggenheim",2004-01-07,"E4313",17.99,"season_14"
323,22,"""Gaijin""","Jace Alexander","Wendy Battles",2004-04-28,"E4325",17.19,"season_14"
334,9,"""All in the Family""","Jace Alexander","William N. Fordes",2004-11-24,"15003",12.62,"season_15"
337,12,"""Mammon""","Jace Alexander","William N. Fordes & Douglas Stark",2005-01-05,"15016",14.28,"season_15"
40,18,"""Cradle to Grave""","James Frawley","Robert Nathan & Sally Nemeth",1992-03-31,"67424",18.1,"season_2"
50,6,"""Helpless""","James Frawley","Michael S. Chernuchin & Christine Roum",1992-11-04,"68011",17.5,"season_3"
56,12,"""Right to Counsel""","James Frawley","Michael S. Chernuchin & Barry M. Schkolnick",1993-01-13,"68019",15.1,"season_3"
67,1,"""Sweeps""","James Frawley","Craig McNeer & Robert Nathan",1993-09-15,"69009",13.6,"season_4"
54,10,"""Consultation""","James Hayman","Matt Kiene & Joseph Reinkemeyer",1992-12-09,"68014",13.4,"season_3"
64,20,"""Securitate""","James Hayman","Matt Kiene & Joe Reinkemeyer",1993-05-05,"68026",10.8,"season_3"
9,9,"""Indifference""","James Quinn","Robert Palm",1990-11-27,"66207",17.6,"season_1"
68,2,"""Volunteers""","James Quinn","René Balcer",1993-09-29,"69017",13.7,"season_4"
83,17,"""Mayhem""","James Quinn","S : Walon Green;T : René Balcer;S/T : Michael S. Chernuchin",1994-03-09,"69029",16.6,"season_4"
88,22,"""Old Friends""","James Quinn","S : Robert Nathan;S/T : Joshua Stern",1994-05-25,"69031",15.3,"season_4"
98,10,"""House Counsel""","James Quinn","Michael S. Chernuchin & Barry M. Schkolnick",1995-01-04,"69413",16.4,"season_5"
240,11,"""Sunday in the Park with Jorge""","James Quinn","William M. Finkelstein",2001-01-24,"E1301",18.54,"season_11"
244,15,"""Swept Away""","James Quinn","William M. Finkelstein",2001-02-28,"E1319",18.88,"season_11"
246,17,"""Ego""","James Quinn","William N. Fordes & Wendy Battles",2001-03-21,"E1324",18.14,"season_11"
258,5,"""Possession""","James Quinn","Robert Palm",2001-10-31,"E2202",18.07,"season_12"
271,18,"""Equal Rights""","James Quinn","Terri Kopp",2002-04-03,"E2221",18.93,"season_12"
296,19,"""Seer""","James Quinn","Jill Goldsmith",2003-04-23,"E3316",18.09,"season_13"
328,3,"""The Brotherhood""","Jean de Segonzac","S : Wendy Battles;S/T : Alfredo Barrios, Jr.",2004-09-29,"15004",12.94,"season_15"
343,18,"""Dining Out""","Jean de Segonzac","Davey Holmes",2005-03-02,"15017",14.66,"season_15"
351,2,"""Flaw""","Jean de Segonzac","Chris Levinson",2005-09-28,"16002",15.06,"season_16"
361,12,"""Family Friend""","Jean de Segonzac","Philippe Browning",2006-01-11,"16012",12.83,"season_16"
366,17,"""America, Inc.""","Jean de Segonzac","Richard Sweren",2006-03-22,"16017",9,"season_16"
370,21,"""Hindsight""","Jean de Segonzac","Chris Levinson",2006-05-10,"16021",12.68,"season_16"
372,1,"""Fame""","Jean de Segonzac","Nicholas Wootton",2006-09-22,"17001",11.07,"season_17"
386,15,"""Melting Pot""","Jean de Segonzac","Richard Sweren",2007-02-16,"17015",9.01,"season_17"
399,6,"""Political Animal""","Jean de Segonzac","Ed Zuckerman & David Slack",2008-01-30,"18011",11.1,"season_18"
426,15,"""Bailout""","Jean de Segonzac","Richard Sweren & Christopher Ambrose",2009-03-11,"19015",7.64,"season_19"
451,18,"""Brazil""","Jean de Segonzac","S : René Balcer;S/T : Keith Eisner",2010-03-29,"20018",6.01,"season_20"
457,1,"""The Right Thing""","Jean de Segonzac","Dick Wolf & Rick Eid",2022-02-24,"2101",5.8,"season_21"
484,18,"""Collateral Damage""","Jean de Segonzac","Pamela Wechsler",2023-04-06,"2218",4.4,"season_22"
35,13,"""Severance""","Jim Frawley","S : Michael Duggan;T : Michael S. Chernuchin;S/T : William N. Fordes",1992-01-14,"67418",17.4,"season_2"
400,7,"""Quit Claim""","Jim McKay","William N. Fordes & David Wilcox",2008-02-06,"18010",10.06,"season_18"
411,18,"""Excalibur""","Jim McKay","René Balcer & Ed Zuckerman",2008-05-21,"18018",8.57,"season_18"
419,8,"""Chattel""","Jim McKay","William N. Fordes & Matthew McGough",2009-01-07,"19009",10.26,"season_19"
427,16,"""Take-Out""","Jim McKay","William N. Fordes & Keith Eisner",2009-03-18,"19016",7.14,"season_19"
438,5,"""Dignity""","Jim McKay","Richard Sweren & Julie Martin",2009-10-23,"20005",7.24,"season_20"
450,17,"""Four Cops Shot""","Jim McKay","Ed Zuckerman & Luke Schelhaas & Matthew McGough",2010-03-22,"20017",6.02,"season_20"
454,21,"""Immortal""","Jim McKay","Richard Sweren & Julie Martin",2010-05-17,"20021",6.12,"season_20"
381,10,"""Corner Office""","Joan Stein Schimke","Rick Eid & Richard Sweren",2006-12-08,"17010",10.23,"season_17"
469,3,"""Camouflage""","John Behring","Pamela Wechsler",2022-10-06,"2203",4.06,"season_22"
514,13,"""In God We Trust""","John Behring","Jennifer Vanderbes",2025-02-20,"2413",4.09,NA
410,17,"""Personae Non Gratae""","John Coles","Stephanie Sengupta & Matthew McGough",2008-05-14,"18017",8.46,"season_18"
1,1,"""Prescription for Death""","John P. Whitesell II","S : David Black;S/T : Ed Zuckerman",1990-09-13,"66209",14,"season_1"
20,20,"""The Troubles""","John P. Whitesell II","S : Dick Wolf;S/T : Robert Palm",1991-03-26,"66214",17.4,"season_1"
6,6,"""Everybody's Favorite Bagman""","John Patterson","Dick Wolf",1990-10-30,"83543",18.2,"season_1"
30,8,"""Out of Control""","John Whitesell","S : David Black & Robert Stuart Nathan;T : Jack Richardson",1991-11-12,"67403",19.3,"season_2"
423,12,"""Illegitimate""","Josh Marston","Stephanie Sengupta & Keith Eisner",2009-02-04,"19011",8.64,"season_19"
479,13,"""Mammon""","Joy Lane","Keith Eisner",2023-02-02,"2213",4.98,"season_22"
389,18,"""Bling""","Karen Gaviola","Matthew McGough",2007-04-06,"17018",8.22,"season_17"
26,4,"""Asylum""","Kristoffer Siegel-Tabori","S : Robert Palm;T : Kathy McCormick",1991-10-08,"67409",20.8,"season_2"
515,14,"""A Price to Pay""","Laura Belsey","Scott Gold & William Lapp",2025-02-27,"2414",4.03,NA
505,4,"""The Meaning of Life""","Leslie Hope","Jennifer Vanderbes",2024-10-24,"2404",3.33,"season_24"
104,16,"""Wannabe""","Lewis H. Gould","René Balcer & I.C. Rapoport",1995-03-15,"69417",16,"season_5"
116,5,"""Hot Pursuit""","Lewis H. Gould","Ed Zuckerman & Morgan Gendel",1995-11-08,"K0110",17.1,"season_6"
132,21,"""Pro Se""","Lewis H. Gould","René Balcer & I.C. Rapoport",1996-05-08,"K0119",14.6,"season_6"
142,8,"""Family Business""","Lewis H. Gould","Gardner Stern & Barry M. Schkolnick",1996-11-20,"K1111",14,"season_7"
147,13,"""Matrimony""","Lewis H. Gould","Ed Zuckerman & Richard Sweren",1997-02-19,"K1115",13.14,"season_7"
169,12,"""Expert""","Lewis H. Gould","David Shore & I.C. Rapoport",1998-01-21,"K2518",13.55,"season_8"
184,3,"""Bait""","Lewis H. Gould","S : I.C. Rapoport;S/T : David Shore",1998-10-14,"E0204",11.84,"season_9"
199,18,"""Juvenile""","Lewis H. Gould","Richard Sweren & Lynne Litt",1999-04-14,"E0223",14.87,"season_9"
232,3,"""Dissonance""","Lewis H. Gould","Wendy Battles",2000-11-01,"E1307",17.6,"season_11"
273,20,"""Dazzled""","Lewis H. Gould","Eric Overmyer & Matt Witten",2002-04-24,"E2224",19.15,"season_12"
435,2,"""Just a Girl in the World""","M.T. Adler","Richard Sweren & Christopher Ambrose",2009-10-02,"20002",6.79,"season_20"
97,9,"""Scoundrels""","Marc Laub","Ed Zuckerman & Charles C. Mann",1994-11-30,"69415",18.3,"season_5"
404,11,"""Betrayal""","Marc Levin","Richard Sweren & Gina Gionfriddo",2008-03-05,"18005",9.63,"season_18"
422,11,"""Lucky Stiff""","Marc Levin","Ed Zuckerman & Matthew McGough",2009-01-28,"19012",8.96,"season_19"
445,12,"""Blackmail""","Marc Levin","Ed Zuckerman & Matthew McGough",2010-01-15,"20012",7.21,"season_20"
407,14,"""Burn Card""","Mario Van Peebles","Ed Zuckerman & David Wilcox",2008-04-23,"18014",12.75,"season_18"
417,6,"""Sweetie""","Mario Van Peebles","Ed Zuckerman & Luke Schelhaas",2008-12-10,"19007",7.51,"season_19"
441,8,"""Doped""","Mario Van Peebles","Richard Sweren & Christopher Ambrose",2009-11-06,"20008",8.29,"season_20"
409,16,"""Strike""","Marisol Torres","William N. Fordes & David Slack",2008-05-07,"18016",8.85,"season_18"
418,7,"""Zero""","Marisol Torres","Ed Zuckerman & Luke Schelhaas",2008-12-17,"19002",7.02,"season_19"
96,8,"""Virtue""","Martha Mitchell","Mark B. Perry & Jeremy R. Littman",1994-11-23,"69412",18.7,"season_5"
102,14,"""Performance""","Martha Mitchell","S : René Balcer;T : Ed Zuckerman;S/T : Jeremy R. Littman",1995-02-08,"69419",16.2,"season_5"
123,12,"""Trophy""","Martha Mitchell","S : Ed Zuckerman;S/T : Jeremy R. Littman",1996-01-31,"K0114",17.3,"season_6"
129,18,"""Atonement""","Martha Mitchell","S : Ed Zuckerman;S/T : Morgan Gendel",1996-04-10,"K0123",16.2,"season_6"
134,23,"""Aftershock""","Martha Mitchell","S : Michael S. Chernuchin;S/T : Janis Diamond",1996-05-22,"K0125",15,"season_6"
158,1,"""Thrill""","Martha Mitchell","René Balcer",1997-09-24,"K2508",17.58,"season_8"
172,15,"""Faccia a Faccia""","Martha Mitchell","René Balcer & Eddie Feldmann",1998-02-25,"K2519",13.78,"season_8"
187,6,"""Scrambled""","Martha Mitchell","S : Judith Hooper & Dick Teresi;T : Ed Zuckerman",1998-11-11,"E0208",13.78,"season_9"
196,15,"""Disciple""","Martha Mitchell","S : Kathy McCormick;T : Richard Sweren;S/T : Lynne Litt",1999-02-24,"E0220",13.55,"season_9"
224,19,"""Surrender Dorothy""","Martha Mitchell","Barry Schindel & Matt Witten",2000-04-26,"E1125",18.46,"season_10"
255,2,"""Armed Forces""","Martha Mitchell","Richard Sweren & Sean Jablonski",2001-10-03,"E2210",22.55,"season_12"
280,3,"""True Crime""","Martha Mitchell","Wendy Battles & Noah Baylin",2002-10-16,"E3305",19.29,"season_13"
320,19,"""Nowhere Man""","Martha Mitchell","William N. Fordes",2004-03-31,"E4324",17.86,"season_14"
482,16,"""Deadline""","Martha Mitchell","Art Alamo & Gia Gordon",2023-03-23,"2216",4.41,"season_22"
492,4,"""Unintended Consequences""","Martha Mitchell","Pamela Wechsler & Gia Gordon",2024-02-08,"2303",4.56,"season_23"
290,13,"""Absentia""","Martha Mitchell & Darnell Martin","Eric Overmyer",2003-02-12,"E3314",18.38,"season_13"
7,7,"""By Hooker, By Crook""","Martin Davidson","David Black",1990-11-13,"66203",17.7,"season_1"
107,19,"""Cruel and Unusual""","Matthew Penn","René Balcer & Michael S. Chernuchin",1995-04-19,"69423",15.5,"season_5"
118,7,"""Humiliation""","Matthew Penn","Michael S. Chernuchin & Barry M. Schkolnick",1995-11-22,"K0111",19.2,"season_6"
126,15,"""Encore""","Matthew Penn","Ed Zuckerman & Jeremy R. Littman",1996-02-28,"K0120",15.1,"season_6"
133,22,"""Homesick""","Matthew Penn","S : Michael S. Chernuchin;T : Elaine Loeser;S/T : Barry M. Schkolnick",1996-05-15,"K0126",17.3,"season_6"
139,5,"""Corruption""","Matthew Penn","S : René Balcer;S/T : Gardner Stern",1996-10-30,"K1101",16.2,"season_7"
143,9,"""Entrapment""","Matthew Penn","René Balcer & Richard Sweren",1997-01-08,"K1109",13.23,"season_7"
161,4,"""Harvest""","Matthew Penn","S : René Balcer;S/T : I.C. Rapoport",1997-10-29,"K2506",14.18,"season_8"
165,8,"""Shadow""","Matthew Penn","Richard Sweren",1997-11-26,"K2505",14.81,"season_8"
189,8,"""Punk""","Matthew Penn","S : Richard Sweren;S/T : Matt Witten",1998-11-25,"E0215",13.43,"season_9"
192,11,"""Ramparts""","Matthew Penn","Kathy McCormick & Lynne Litt",1999-01-13,"E0211",16.62,"season_9"
201,20,"""Empire""","Matthew Penn","S : René Balcer;S/T : Robert Palm",1999-05-05,"E0217",18.4,"season_9"
210,5,"""Justice""","Matthew Penn","S : William N. Fordes;S/T : Gerry Conway",1999-11-10,"E1104",17.7,"season_10"
213,8,"""Blood Money""","Matthew Penn","Barry Schindel",1999-12-01,"E1111",15.24,"season_10"
236,7,"""Amends""","Matthew Penn","William N. Fordes",2000-11-29,"E1302",19.41,"season_11"
264,11,"""The Collar""","Matthew Penn","Richard Sweren",2002-01-09,"E2214",19.95,"season_12"
275,22,"""Attorney Client""","Matthew Penn","Jill Goldsmith",2002-05-08,"E2225",19.77,"season_12"
284,7,"""Open Season""","Matthew Penn","Richard Sweren",2002-11-20,"E3306",17.98,"season_13"
293,16,"""Suicide Box""","Matthew Penn","Aaron Zelman",2003-03-26,"E3312",16.48,"season_13"
303,2,"""Bounty""","Matthew Penn","Michael S. Chernuchin",2003-10-01,"E4304",17.5,"season_14"
325,24,"""C.O.D.""","Matthew Penn","Richard Sweren & Marc Guggenheim",2004-05-19,"E4319",19.46,"season_14"
326,1,"""Paradigm""","Matthew Penn","S : Dick Wolf;T : Richard Sweren",2004-09-22,"15001",18.86,"season_15"
339,14,"""Fluency""","Matthew Penn","Nick Santora",2005-01-19,"15018",15.12,"season_15"
349,24,"""Locomotion""","Matthew Penn","S : Roz Weinman;T : Eric Overmyer",2005-05-18,"15029",12.41,"season_15"
350,1,"""Red Ball""","Matthew Penn","David Wilcox",2005-09-21,"16001",13.04,"season_16"
371,22,"""Invaders""","Matthew Penn","Richard Sweren & David Wilcox",2006-05-17,"16022",13.59,"season_16"
384,13,"""Talking Points""","Matthew Penn","Michael S. Chernuchin",2007-02-02,"17013",9.53,"season_17"
393,22,"""The Family Hour""","Matthew Penn","Richard Sweren & David Slack",2007-05-18,"17022",9.23,"season_17"
395,2,"""Darkness""","Michael Dinner","William N. Fordes & David Slack",2008-01-02,"18006",13.46,"season_18"
436,3,"""Great Satan""","Michael Dinner","Ed Zuckerman & Luke Schelhaas",2009-10-09,"20003",7.22,"season_20"
10,10,"""Prisoner of Love""","Michael Fresco","S : David Black;S/T : Robert Stuart Nathan",1990-12-04,"66208",16.8,"season_1"
332,7,"""Gov Love""","Michael Pressman","Richard Sweren & Ross Berger",2004-11-10,"15013",15.15,"season_15"
347,22,"""Sport of Kings""","Michael Pressman","S : Nick Santora;S/T : Richard Sweren & Wendy Battles",2005-05-04,"15023",11.7,"season_15"
356,7,"""House of Cards""","Michael Pressman","Wendy Battles",2005-11-09,"16008",10.86,"season_16"
359,10,"""Acid""","Michael Pressman","Richard Sweren",2005-11-30,"16011",12.87,"season_16"
364,15,"""Choice of Evils""","Michael Pressman","David Wilcox",2006-03-01,"16016",12.39,"season_16"
379,8,"""Release""","Michael Pressman","Rick Eid & Nicholas Wootton",2006-11-10,"17008",9.57,"season_17"
383,12,"""Charity Case""","Michael Pressman","Nicholas Wootton",2007-01-12,"17012",9.02,"season_17"
446,13,"""Steel-Eyed Death""","Michael Pressman","Richard Sweren & Christopher Ambrose & Julie Martin",2010-03-01,"20013",7.76,"season_20"
458,2,"""Impossible Dream""","Michael Pressman","Teleplay by : Rick EidStory by : Pamela Wechsler & Rick Eid",2022-03-03,"2102",4.46,"season_21"
487,21,"""Appraisal""","Michael Pressman","Pamela Wechsler & Jennifer Vanderbes",2023-05-11,"2221",3.93,"season_22"
497,9,"""Family Ties""","Michael Pressman","Pamela Wechsler & Ted Malawer",2024-04-11,"2309",3.85,"season_23"
512,11,"""The Hardest Thing""","Michael Pressman","Art Alamo",2025-01-30,"2411",4.12,"season_24"
491,3,"""Turn the Page""","Michael Smith","Rick Eid",2024-02-01,"2304",4.85,"season_23"
496,8,"""Facade""","Michael Smith","Art Alamo & Ajani Jackson",2024-03-21,"2308",3.99,"season_23"
509,8,"""Bad Apple""","Michael Smith","Art Alamo",2024-11-21,"2408",3.76,"season_24"
518,17,"""A Perfect Family""","Michael Smith","Rick Eid & Jennifer Vanderbes",2025-04-03,"2417",3.66,NA
365,16,"""Cost of Capital""","Michael Watkins","S : Rick Eid;T : Tom Smuts",2006-03-08,"16015",11.79,"season_16"
391,20,"""Captive""","Michael Watkins","Richard Sweren",2007-05-04,"17020",8.88,"season_17"
396,3,"""Misbegotten""","Michael Watkins","David Wilcox & Stephanie Sengupta",2008-01-09,"18002",11.02,"season_18"
415,4,"""Falling""","Michael Watkins","Stephanie Sengupta & Keith Eisner",2008-11-26,"19005",6.33,"season_19"
429,18,"""Promote This!""","Michael Watkins","Richard Sweren & Christopher Ambrose",2009-04-29,"19019",7.83,"season_19"
459,3,"""Filtered Life""","Milena Govich","Art Alamo & Pamela Wechsler",2022-03-10,"2103",4.21,"season_21"
468,2,"""Battle Lines""","Milena Govich","Art Alamo",2022-09-29,"2202",4.4,"season_22"
486,20,"""Class Retreat""","Milena Govich","Teleplay by : Rick Eid & Keith EisnerStory by : Rick Eid",2023-05-04,"2220",4.18,"season_22"
499,11,"""Castle in the Sky""","Milena Govich","Art Alamo",2024-05-02,"2311",3.84,"season_23"
507,6,"""Time Will Tell""","Milena Govich","Rick Eid & Scott Gold",2024-11-07,"2406",3.49,"season_24"
432,21,"""Skate or Die""","Norberto Barba","Ed Zuckerman & Luke Schelhaas",2009-05-20,"19021",6.67,"season_19"
485,19,"""Private Lives""","Néstor Carbonell","Art Alamo",2023-04-27,"2219",3.92,"season_22"
506,5,"""Report Card""","Néstor Carbonell","Pamela Wechsler & Ajani Jackson",2024-10-31,"2405",3.62,"season_24"
338,13,"""Ain't No Love""","Paris Barclay","Richard Sweren & Lois Johnson",2005-01-12,"15015",14.69,"season_15"
36,14,"""Blood Is Thicker""","Peter Levin","S : Robert Nathan;S/T : Ed Zuckerman",1992-02-04,"67422",17.6,"season_2"
477,11,"""Second Chance""","Rachel Leiterman","Pamela Wechsler & Jonathan Collier",2023-01-12,"2211",4.64,"season_22"
490,2,"""Human Innovations""","Rachel Leiterman","Art Alamo",2024-01-25,"2302",4.6,"season_23"
456,23,"""Rubber Room""","René Balcer","René Balcer",2010-05-24,"20023",7.84,"season_20"
175,18,"""Stalker""","Richard Dobbs","Kathy McCormick",1998-04-15,"K2523",16.38,"season_8"
194,13,"""Hunters""","Richard Dobbs","S : William N. Fordes;S/T : Gerry Conway",1999-02-10,"E0218",15.29,"season_9"
197,16,"""Harm""","Richard Dobbs","René Balcer & Eddie Feldmann",1999-03-03,"E0213",12.93,"season_9"
200,19,"""Tabula Rasa""","Richard Dobbs","Kathy McCormick & William N. Fordes",1999-04-21,"E0222",16.45,"season_9"
217,12,"""Mother's Milk""","Richard Dobbs","Lynn Mamet & Barry Schindel",2000-02-09,"E1110",18.38,"season_10"
227,22,"""High & Low""","Richard Dobbs","S : William N. Fordes;S/T : Gerry Conway",2000-05-17,"E1122",17.49,"season_10"
231,2,"""Turnstile Justice""","Richard Dobbs","Barry Schindel",2000-10-25,"E1303",16.67,"season_11"
245,16,"""Bronx Cheer""","Richard Dobbs","S : Wendy Battles;S/T : Richard Sweren",2001-03-14,"E1316",18.7,"season_11"
248,19,"""Whiplash""","Richard Dobbs","Matt Witten & Aaron Zelman",2001-04-18,"E1323",16.28,"season_11"
251,22,"""School Daze""","Richard Dobbs","S : Dick Wolf;T : Barry Schindel & Eric Overmyer",2001-05-16,"E1329",21.55,"season_11"
257,4,"""Soldier of Fortune""","Richard Dobbs","Barry Schindel",2001-10-24,"E2206",21.39,"season_12"
259,6,"""Formerly Famous""","Richard Dobbs","Wendy Battles & Marc Guggenheim",2001-11-07,"E2201",18.96,"season_12"
